Date,Grade,Team 1,Elo_1,G_1,P_1,Sc_1,Team 2,Elo_2,G_2,P_2,Sc_2,Home,Margin,Weight,T1_win_odds,Result_T1,Result_T2
27-04-2024,Secondary,Sligo,783,2,14,20,Tyrone,854,2,17,23,Y,1.15,50,59.00%,-34,34
27-04-2024,Secondary,London,992,2,20,26,Wicklow,847,0,14,14,Y,1.857142857,50,79.55%,19,-19
27-04-2024,Secondary,Kildare,1282,2,19,25,Derry,1208,0,18,18,Y,1.388888889,50,73.72%,18,-18
27-04-2024,Secondary,Donegal,1038,4,27,39,Monaghan,470,0,15,15,Y,2,50,96.47%,4,-4
27-04-2024,Secondary,Louth,420,0,17,17,Mayo,883,3,22,31,Y,1.823529412,50,19.13%,-17,17
27-04-2024,Secondary,Lancashire,184,0,21,21,Cavan,323,2,25,31,N,1.476190476,50,34.52%,-25,25
27-04-2024,Secondary,Longford,367,2,22,28,Leitrim,282,3,9,18,Y,1.555555556,50,74.69%,20,-20
28-04-2024,Provincial,Galway,2137,2,23,29,Kilkenny,2184,0,29,29,Y,1,60,61.64%,-7,7
28-04-2024,Provincial,Limerick,2401,2,27,33,Tipperary,2071,0,18,18,Y,1.833333333,60,90.12%,11,-11
28-04-2024,Secondary,Kerry,1349,0,26,26,Down,1224,2,12,18,Y,1.444444444,50,78.01%,16,-16
28-04-2024,Secondary,Armagh,625,0,20,20,Roscommon,814,0,21,21,Y,1.05,50,45.52%,-24,24
28-04-2024,Secondary,Warwickshire,293,0,8,8,Fermanagh,500,3,27,36,Y,2,50,43.48%,-43,43
04-05-2024,Provincial,Wexford,1790,1,28,31,Galway,2130,0,23,23,Y,1.347826087,60,29.42%,57,-57
04-05-2024,Provincial,Waterford,1938,3,21,30,Tipperary,2060,1,27,30,Y,1,60,53.22%,-2,2
04-05-2024,Secondary,Down,1208,3,19,28,Westmeath,1446,1,25,28,Y,1,50,40.01%,5,-5
04-05-2024,Secondary,Kerry,1365,0,18,18,Laois,1613,1,25,28,Y,1.555555556,50,38.91%,-30,30
04-05-2024,Secondary,Meath,1137,3,16,25,Offaly,1504,5,31,46,Y,1.84,50,26.91%,-25,25
11-05-2024,Provincial,Carlow,1454,1,20,23,Kilkenny,2191,1,20,23,Y,1,60,6.28%,26,-26
11-05-2024,Provincial,Dublin,1879,3,22,31,Antrim,1556,1,18,21,Y,1.476190476,60,89.83%,9,-9
11-05-2024,Provincial,Cork,2068,3,28,37,Limerick,2412,3,26,35,Y,1.057142857,60,29.04%,45,-45
11-05-2024,Secondary,Derry,1190,2,22,28,London,1011,2,13,19,Y,1.473684211,50,81.98%,13,-13
11-05-2024,Secondary,Tyrone,888,0,11,11,Kildare,1300,2,31,37,Y,2,50,23.03%,-23,23
11-05-2024,Secondary,Monaghan,466,2,17,23,Louth,403,4,12,24,Y,1.043478261,50,72.73%,-38,38
11-05-2024,Secondary,Mayo,900,4,29,41,Armagh,601,1,16,19,Y,2,50,88.77%,11,-11
11-05-2024,Secondary,Roscommon,838,2,10,16,Donegal,1042,1,25,28,Y,1.75,50,43.81%,-38,38
11-05-2024,Secondary,Fermanagh,543,1,23,26,Lancashire,159,0,20,20,Y,1.3,50,92.12%,5,-5
11-05-2024,Secondary,Cavan,348,1,19,22,Longford,387,0,25,25,Y,1.136363636,50,62.51%,-36,36
11-05-2024,Secondary,Leitrim,262,2,25,31,Warwickshire,250,0,16,16,Y,1.9375,50,67.83%,31,-31
12-05-2024,Secondary,Wicklow,828,2,16,22,Sligo,749,1,17,20,Y,1.1,50,74.17%,14,-14
18-05-2024,Provincial,Antrim,1547,1,14,17,Galway,2073,3,25,34,Y,2,60,15.04%,-18,18
18-05-2024,Provincial,Dublin,1888,2,23,29,Kilkenny,2165,1,28,31,Y,1.068965517,60,35.78%,-23,23
18-05-2024,Secondary,Laois,1643,4,31,43,Down,1213,0,17,17,Y,2,50,93.53%,6,-6
18-05-2024,Secondary,Westmeath,1441,1,29,32,Meath,1112,0,14,14,Y,2,50,90.08%,10,-10
18-05-2024,Secondary,London,998,3,14,23,Kildare,1323,2,20,26,Y,1.130434783,50,30.88%,-17,17
18-05-2024,Secondary,Sligo,735,0,19,19,Derry,1203,4,30,42,Y,2,50,18.78%,-19,19
18-05-2024,Secondary,Tyrone,865,1,25,28,Wicklow,842,2,16,22,Y,1.272727273,50,68.93%,20,-20
18-05-2024,Secondary,Louth,441,1,20,23,Donegal,1080,4,19,31,Y,1.347826087,50,9.52%,-6,6
18-05-2024,Secondary,Armagh,590,3,19,28,Monaghan,428,0,18,18,Y,1.555555556,50,80.80%,15,-15
18-05-2024,Secondary,Roscommon,800,1,19,22,Mayo,911,2,16,22,Y,1,50,54.48%,-2,2
18-05-2024,Secondary,Longford,423,3,18,27,Fermanagh,548,2,21,27,Y,1,50,52.88%,-1,1
18-05-2024,Secondary,Leitrim,293,0,18,18,Cavan,312,7,19,40,Y,2,50,64.64%,-65,65
18-05-2024,Secondary,Warwickshire,219,6,22,40,Lancashire,154,2,24,30,Y,1.333333333,50,72.91%,18,-18
19-05-2024,Provincial,Tipperary,2062,1,21,24,Cork,2113,4,30,42,Y,1.75,60,61.20%,-64,64
19-05-2024,Provincial,Clare,2163,4,21,33,Waterford,1936,2,26,32,Y,1.03125,60,85.02%,9,-9
19-05-2024,Provincial,Carlow,1480,1,13,16,Wexford,1847,2,36,42,Y,2,60,26.91%,-32,32
